Cultivar,Empresa,Floracion_dias,Altura_cm,Densidad_sem,Rendimiento,Aceite_porcentaje,Rendimiento_Ajustado,Campania,Localidad,Latitud,Longitud,Ensayo,Tipo Ensayo,Epoca,Distancia_surcos,Tipo_Siembra,Densidad_siembra,Fecha_Siembra,Testigo,Visible
ACA 864 DM,ACA,78,155,56387,2559,47.29,2694,2003-2004,Balcarce,-37.84985917,-58.26744333,Balcarce  2003-2004,Convencional,Temprana,70,Convencional,54000,29/10/2003,NO,SI
ACA 864 DM,ACA,75,183,58341,3322,49.72,3578,2003-2004,Balcarce,-37.84985917,-58.26744333,Balcarce  2003-2004,Convencional,Normal,70,Directa,46000,04/11/2003,NO,SI
ACA 864 DM,ACA,74,141,45316,1905,44.89,1960,2003-2004,Barrow,-38.311904,-60.231644,Barrow  2003-2004,Convencional,Normal,70,Convencional,,31/10/2003,NO,SI
ACA 864 DM,ACA,70,139,43693,2540,47.52,2680,2003-2004,Bellocq,-35.932778,-61.487778,Bellocq  2003-2004,Convencional,Normal,70,Convencional,43000,04/11/2003,NO,SI
ACA 864 DM,ACA,68,179,45482,3970,49.07,4251,2003-2004,Carretero,-38.494876,-59.793151,Carretero  2003-2004,Convencional,Normal,,,,20/11/2003,NO,SI
ACA 864 DM,ACA,73,152,51935,4152,46.66,4345,2003-2004,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2003-2004,Convencional,Normal,70,Convencional,53000,04/11/2003,NO,SI
ACA 864 DM,ACA,71,163,52569,4340,47.52,4580,2003-2004,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2003-2004,Convencional,Normal,70,Directa,53000,04/11/2003,NO,SI
ACA 864 DM,ACA,77,175,60701,3220,48.7,3436,2003-2004,Pieres,-38.393776,-58.672387,Pieres  2003-2004,Convencional,Normal,70,Convencional,61000,27/10/2003,NO,SI
ACA 864 DM,ACA,86,171,46627,4122,46.4,4303,2003-2004,Reconquista,-29.14952389,-59.66645806,Reconquista  2003-2004,Convencional,Normal,,,,13/08/2003,NO,SI
ACA 864 DM,ACA,80,,53044,3333,47.05,3501,2003-2004,Tandil,-37.31680472,-59.13307167,Tandil  2003-2004,Convencional,Normal,70,Convencional,50000,08/11/2003,NO,SI
ACA 864 DM,ACA,68,160,60944,2077,47.3,2187,2004-2005,Balcarce,-37.84985917,-58.26744333,Balcarce  2004-2005,Convencional,Tardia,70,Convencional,57000,08/12/2004,SI,NO
ACA 864 DM,ACA,74,161,57143,2734,45.51,2830,2004-2005,Balcarce,-37.84985917,-58.26744333,Balcarce  2004-2005,Convencional,Temprana,70,Convencional,55000,28/10/2004,NO,SI
ACA 864 DM,ACA,73,170,41911,2771,44.51,2841,2004-2005,Barrow,-38.311904,-60.231644,Barrow  2004-2005,Convencional,Normal,70,Convencional,43000,25/10/2004,NO,SI
ACA 864 DM,ACA,61,154,46427,3106,45.71,3221,2004-2005,Bellocq,-35.932778,-61.487778,Bellocq  2004-2005,Convencional,Normal,70,Convencional,46000,24/11/2004,NO,SI
ACA 864 DM,ACA,68,,43349,3698,46.03,3847,2004-2005,Carretero,-38.494876,-59.793151,Carretero  2004-2005,Convencional,Normal,,,,03/11/2004,NO,SI
ACA 864 DM,ACA,69,188,46923,3936,45.64,4079,2004-2005,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2004-2005,Convencional,Normal,70,Convencional,43000,01/11/2004,NO,SI
ACA 864 DM,ACA,69,178,38618,3557,47.49,3752,2004-2005,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2004-2005,Convencional,Normal,70,Directa,40000,01/11/2004,NO,SI
ACA 864 DM,ACA,71,182,58371,3617,46.28,3772,2004-2005,Pieres,-38.393776,-58.672387,Pieres  2004-2005,Convencional,Normal,70,Convencional,55000,28/10/2004,NO,SI
ACA 864 DM,ACA,71,,57862,3970,47.17,4175,2004-2005,Tandil,-37.31680472,-59.13307167,Tandil  2004-2005,Convencional,Normal,70,Convencional,55000,02/11/2004,NO,NO
ACA 864 DM,ACA,74,174,64916,2167,47,2167,2005-2006,Balcarce,-37.84985917,-58.26744333,Balcarce  2005-2006,Convencional,Normal,70,Directa,54000,07/11/2005,NO,SI
ACA 864 DM,ACA,81,131,57863,3250,45.04,3349,2005-2006,Balcarce,-37.84985917,-58.26744333,Balcarce  2005-2006,Convencional,Normal,70,Convencional,54000,19/10/2005,NO,SI
ACA 864 DM,ACA,72,167,46261,2753,44.49,2822,2005-2006,Barrow,-38.311904,-60.231644,Barrow  2005-2006,Convencional,Normal,70,Convencional,45000,07/11/2005,NO,SI
ACA 864 DM,ACA,75,156,44969,2547,44.1,2600,2005-2006,Bellocq,-35.932778,-61.487778,Bellocq  2005-2006,Convencional,Normal,70,Convencional,46000,31/10/2005,NO,SI
ACA 864 DM,ACA,68,134,45739,3227,44.92,3321,2005-2006,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2005-2006,Convencional,Normal,70,Convencional,47000,31/10/2005,NO,SI
ACA 864 DM,ACA,69,114,48167,4005,46.55,4187,2005-2006,Coronel Suarez,-37.46683528,-61.93326111,Coronel Suarez  2005-2006,Convencional,Normal,70,Directa,43000,01/11/2005,NO,SI
ACA 864 DM,ACA,73,174,45445,3639,46.97,3820,2005-2006,El Carretero,-38.494876,-59.793151,El Carretero  2005-2006,Convencional,Normal,70,Convencional,,01/11/2005,NO,SI
ACA 864 DM,ACA,64,175,64303,4311,49.22,4622,2005-2006,Hilario Ascasubi,-39.38364306,-62.6666425,Hilario Ascasubi  2005-2006,Convencional,Normal,,,,25/10/2001,NO,SI
ACA 864 DM,ACA,78,171,61227,3144,45.07,3241,2005-2006,Pieres,-38.393776,-58.672387,Pieres  2005-2006,Convencional,Normal,70,Convencional,57000,27/10/2005,NO,SI
ACA 864 DM,ACA,84,,53247,3351,44.4,3431,2005-2006,Tandil,-37.31680472,-59.13307167,Tandil  2005-2006,Convencional,Normal,70,Convencional,54000,03/11/2005,NO,SI
ACA 865,ACA,53,170,54945,3502,52.56,3872,2010-2011,Anguil,-36.516765,-64.01673306,Anguil  2010-2011,Convencional,Normal,52,Directa,45000,19/11/2010,NO,SI
ACA 865,ACA,65,168,54754,2443,48.84,2610,2010-2011,Balcarce,-37.84985917,-58.26744333,Balcarce  2010-2011,Convencional,Normal,52,Directa,53000,24/11/2010,NO,SI
ACA 865,ACA,74,139,56757,2817,53.83,3150,2010-2011,Balcarce,-37.84985917,-58.26744333,Balcarce  2010-2011,Convencional,Normal,52,Directa,55000,22/10/2010,NO,SI
ACA 865,ACA,72,140,,3002,54.6,3380,2010-2011,Barrow,-38.311904,-60.231644,Barrow  2010-2011,Convencional,Normal,52,Directa,45000,25/10/2010,NO,SI
ACA 865,ACA,78,,,2908,54.84,3281,2010-2011,Bellocq,-35.932778,-61.487778,Bellocq  2010-2011,Convencional,Normal,52,Directa,45000,19/10/2010,NO,SI
ACA 865,ACA,62,,47988,3423,52.53,3783,2010-2011,Carhue,-37.16680111,-62.73331667,Carhue  2010-2011,Convencional,Normal,70,Convencional,45000,04/11/2010,NO,SI
ACA 865,ACA,67,191,43590,2409,57.87,2791,2010-2011,General Belgrano,-35.7666875,-58.4997,General Belgrano  2010-2011,Convencional,Normal,52,Directa,50000,20/10/2010,NO,SI
ACA 865,ACA,75,146,45068,3361,55.5,3815,2010-2011,General Madariaga,-37.00011778,-57.13295222,General Madariaga  2010-2011,Convencional,Normal,70,Convencional,48000,20/10/2010,NO,SI
ACA 865,ACA,,,61905,3137,53.36,3493,2010-2011,Miramar,-38.25021556,-57.83298972,Miramar  2010-2011,Convencional,Normal,52,Directa,48000,28/10/2010,NO,SI
ACA 865,ACA,77,123,54286,3224,55.2,3650,2010-2011,Pieres,-38.393776,-58.672387,Pieres  2010-2011,Convencional,Normal,52,Directa,50000,25/10/2010,NO,SI
ACA 865,ACA,67,186,51082,3273,56.71,3754,2010-2011,Tandil,-37.31680472,-59.13307167,Tandil  2010-2011,Convencional,Normal,52,Directa,48000,13/11/2010,NO,SI
ACA 865,ACA,,,49999,1368,51.18,1494,2010-2011,Villa Mirasol,-36.10005167,-63.88339056,Villa Mirasol  2010-2011,Convencional,Normal,,,,,NO,SI
ACA 866 HO,ACA,62,,50359,1576,49.11,1688,2010-2011,Intendente Alvear,-35.24999,-63.566695,Intendente Alvear  2010-2011,Alto Oleico,Normal,52,Directa,48000,01/11/2011,NO,SI
ACA 866 HO,ACA,66,134,46367,1878,49.09,2011,2011-2012,Anguil,-36.516765,-64.01673306,Anguil  2011-2012,Convencional,Normal,52,Directa,47000,27/10/2011,NO,SI
ACA 866 HO,ACA,72,163,54514,2729,49.55,2935,2011-2012,Balcarce,-37.84985917,-58.26744333,Balcarce  2011-2012,Alto Oleico,Normal,52,Directa,57000,27/10/2011,NO,SI
ACA 866 HO,ACA,76,169,,1894,42.16,1897,2011-2012,Barrow,-38.311904,-60.231644,Barrow  2011-2012,Alto Oleico,Normal,52,Directa,45000,26/10/2011,NO,SI
ACA 866 HO,ACA,,,64239,1925,43.5,1954,2011-2012,Manfredi,-31.83306333,-63.75004361,Manfredi  2011-2012,Convencional,Normal,,,,25/11/2011,NO,SI
